date,fips,county,cases,deaths
2020-01-21,39001,Adams,0.0,0.0
2020-01-22,39001,Adams,0.0,0.0
2020-01-23,39001,Adams,0.0,0.0
2020-01-24,39001,Adams,0.0,0.0
2020-01-25,39001,Adams,0.0,0.0
2020-01-26,39001,Adams,0.0,0.0
2020-01-27,39001,Adams,0.0,0.0
2020-01-28,39001,Adams,0.0,0.0
2020-01-29,39001,Adams,0.0,0.0
2020-01-30,39001,Adams,0.0,0.0
2020-01-31,39001,Adams,0.0,0.0
2020-02-01,39001,Adams,0.0,0.0
2020-02-02,39001,Adams,0.0,0.0
2020-02-03,39001,Adams,0.0,0.0
2020-02-04,39001,Adams,0.0,0.0
2020-02-05,39001,Adams,0.0,0.0
2020-02-06,39001,Adams,0.0,0.0
2020-02-07,39001,Adams,0.0,0.0
2020-02-08,39001,Adams,0.0,0.0
2020-02-09,39001,Adams,0.0,0.0
2020-02-10,39001,Adams,0.0,0.0
2020-02-11,39001,Adams,0.0,0.0
2020-02-12,39001,Adams,0.0,0.0
2020-02-13,39001,Adams,0.0,0.0
2020-02-14,39001,Adams,0.0,0.0
2020-02-15,39001,Adams,0.0,0.0
2020-02-16,39001,Adams,0.0,0.0
2020-02-17,39001,Adams,0.0,0.0
2020-02-18,39001,Adams,0.0,0.0
2020-02-19,39001,Adams,0.0,0.0
2020-02-20,39001,Adams,0.0,0.0
2020-02-21,39001,Adams,0.0,0.0
2020-02-22,39001,Adams,0.0,0.0
2020-02-23,39001,Adams,0.0,0.0
2020-02-24,39001,Adams,0.0,0.0
2020-02-25,39001,Adams,0.0,0.0
2020-02-26,39001,Adams,0.0,0.0
2020-02-27,39001,Adams,0.0,0.0
2020-02-28,39001,Adams,0.0,0.0
2020-02-29,39001,Adams,0.0,0.0
2020-03-01,39001,Adams,0.0,0.0
2020-03-02,39001,Adams,0.0,0.0
2020-03-03,39001,Adams,0.0,0.0
2020-03-04,39001,Adams,0.0,0.0
2020-03-05,39001,Adams,0.0,0.0
2020-03-06,39001,Adams,0.0,0.0
2020-03-07,39001,Adams,0.0,0.0
2020-03-08,39001,Adams,0.0,0.0
2020-03-09,39001,Adams,0.0,0.0
2020-03-10,39001,Adams,0.0,0.0
2020-03-11,39001,Adams,0.0,0.0
2020-03-12,39001,Adams,0.0,0.0
2020-03-13,39001,Adams,0.0,0.0
2020-03-14,39001,Adams,0.0,0.0
2020-03-15,39001,Adams,0.0,0.0
2020-03-16,39001,Adams,0.0,0.0
2020-03-17,39001,Adams,0.0,0.0
2020-03-18,39001,Adams,0.0,0.0
2020-03-19,39001,Adams,0.0,0.0
2020-03-20,39001,Adams,0.0,0.0
2020-03-21,39001,Adams,0.0,0.0
2020-03-22,39001,Adams,0.0,0.0
2020-03-23,39001,Adams,0.0,0.0
2020-03-24,39001,Adams,0.0,0.0
2020-03-25,39001,Adams,0.0,0.0
2020-03-26,39001,Adams,0.0,0.0
2020-03-27,39001,Adams,0.0,0.0
2020-03-28,39001,Adams,0.0,0.0
2020-03-29,39001,Adams,0.0,0.0
2020-03-30,39001,Adams,0.0,0.0
2020-03-31,39001,Adams,0.0,0.0
2020-04-01,39001,Adams,0.0,0.0
2020-01-21,39003,Allen,0.0,0.0
2020-01-22,39003,Allen,0.0,0.0
2020-01-23,39003,Allen,0.0,0.0
2020-01-24,39003,Allen,0.0,0.0
2020-01-25,39003,Allen,0.0,0.0
2020-01-26,39003,Allen,0.0,0.0
2020-01-27,39003,Allen,0.0,0.0
2020-01-28,39003,Allen,0.0,0.0
2020-01-29,39003,Allen,0.0,0.0
2020-01-30,39003,Allen,0.0,0.0
2020-01-31,39003,Allen,0.0,0.0
2020-02-01,39003,Allen,0.0,0.0
2020-02-02,39003,Allen,0.0,0.0
2020-02-03,39003,Allen,0.0,0.0
2020-02-04,39003,Allen,0.0,0.0
2020-02-05,39003,Allen,0.0,0.0
2020-02-06,39003,Allen,0.0,0.0
2020-02-07,39003,Allen,0.0,0.0
2020-02-08,39003,Allen,0.0,0.0
2020-02-09,39003,Allen,0.0,0.0
2020-02-10,39003,Allen,0.0,0.0
2020-02-11,39003,Allen,0.0,0.0
2020-02-12,39003,Allen,0.0,0.0
2020-02-13,39003,Allen,0.0,0.0
2020-02-14,39003,Allen,0.0,0.0
2020-02-15,39003,Allen,0.0,0.0
2020-02-16,39003,Allen,0.0,0.0
2020-02-17,39003,Allen,0.0,0.0
2020-02-18,39003,Allen,0.0,0.0
2020-02-19,39003,Allen,0.0,0.0
2020-02-20,39003,Allen,0.0,0.0
2020-02-21,39003,Allen,0.0,0.0
2020-02-22,39003,Allen,0.0,0.0
2020-02-23,39003,Allen,0.0,0.0
2020-02-24,39003,Allen,0.0,0.0
2020-02-25,39003,Allen,0.0,0.0
2020-02-26,39003,Allen,0.0,0.0
2020-02-27,39003,Allen,0.0,0.0
2020-02-28,39003,Allen,0.0,0.0
2020-02-29,39003,Allen,0.0,0.0
2020-03-01,39003,Allen,0.0,0.0
2020-03-02,39003,Allen,0.0,0.0
2020-03-03,39003,Allen,0.0,0.0
2020-03-04,39003,Allen,0.0,0.0
2020-03-05,39003,Allen,0.0,0.0
2020-03-06,39003,Allen,0.0,0.0
2020-03-07,39003,Allen,0.0,0.0
2020-03-08,39003,Allen,0.0,0.0
2020-03-09,39003,Allen,0.0,0.0
2020-03-10,39003,Allen,0.0,0.0
2020-03-11,39003,Allen,0.0,0.0
2020-03-12,39003,Allen,0.0,0.0
2020-03-13,39003,Allen,0.0,0.0
2020-03-14,39003,Allen,0.0,0.0
2020-03-15,39003,Allen,1.0,0.0
2020-03-16,39003,Allen,1.0,0.0
2020-03-17,39003,Allen,1.0,0.0
2020-03-18,39003,Allen,1.0,0.0
2020-03-19,39003,Allen,1.0,0.0
2020-03-20,39003,Allen,1.0,0.0
2020-03-21,39003,Allen,3.0,0.0
2020-03-22,39003,Allen,3.0,0.0
2020-03-23,39003,Allen,4.0,0.0
2020-03-24,39003,Allen,4.0,0.0
2020-03-25,39003,Allen,4.0,0.0
2020-03-26,39003,Allen,5.0,0.0
2020-03-27,39003,Allen,5.0,0.0
2020-03-28,39003,Allen,5.0,0.0
2020-03-29,39003,Allen,5.0,0.0
2020-03-30,39003,Allen,6.0,0.0
2020-03-31,39003,Allen,6.0,0.0
2020-04-01,39003,Allen,6.0,0.0
2020-01-21,39005,Ashland,0.0,0.0
2020-01-22,39005,Ashland,0.0,0.0
2020-01-23,39005,Ashland,0.0,0.0
2020-01-24,39005,Ashland,0.0,0.0
2020-01-25,39005,Ashland,0.0,0.0
2020-01-26,39005,Ashland,0.0,0.0
2020-01-27,39005,Ashland,0.0,0.0
2020-01-28,39005,Ashland,0.0,0.0
2020-01-29,39005,Ashland,0.0,0.0
2020-01-30,39005,Ashland,0.0,0.0
2020-01-31,39005,Ashland,0.0,0.0
2020-02-01,39005,Ashland,0.0,0.0
2020-02-02,39005,Ashland,0.0,0.0
2020-02-03,39005,Ashland,0.0,0.0
2020-02-04,39005,Ashland,0.0,0.0
2020-02-05,39005,Ashland,0.0,0.0
2020-02-06,39005,Ashland,0.0,0.0
2020-02-07,39005,Ashland,0.0,0.0
2020-02-08,39005,Ashland,0.0,0.0
2020-02-09,39005,Ashland,0.0,0.0
2020-02-10,39005,Ashland,0.0,0.0
2020-02-11,39005,Ashland,0.0,0.0
2020-02-12,39005,Ashland,0.0,0.0
2020-02-13,39005,Ashland,0.0,0.0
2020-02-14,39005,Ashland,0.0,0.0
2020-02-15,39005,Ashland,0.0,0.0
2020-02-16,39005,Ashland,0.0,0.0
2020-02-17,39005,Ashland,0.0,0.0
2020-02-18,39005,Ashland,0.0,0.0
2020-02-19,39005,Ashland,0.0,0.0
2020-02-20,39005,Ashland,0.0,0.0
2020-02-21,39005,Ashland,0.0,0.0
2020-02-22,39005,Ashland,0.0,0.0
2020-02-23,39005,Ashland,0.0,0.0
2020-02-24,39005,Ashland,0.0,0.0
2020-02-25,39005,Ashland,0.0,0.0
2020-02-26,39005,Ashland,0.0,0.0
2020-02-27,39005,Ashland,0.0,0.0
2020-02-28,39005,Ashland,0.0,0.0
2020-02-29,39005,Ashland,0.0,0.0
2020-03-01,39005,Ashland,0.0,0.0
2020-03-02,39005,Ashland,0.0,0.0
2020-03-03,39005,Ashland,0.0,0.0
2020-03-04,39005,Ashland,0.0,0.0
2020-03-05,39005,Ashland,0.0,0.0
2020-03-06,39005,Ashland,0.0,0.0
2020-03-07,39005,Ashland,0.0,0.0
2020-03-08,39005,Ashland,0.0,0.0
2020-03-09,39005,Ashland,0.0,0.0
2020-03-10,39005,Ashland,0.0,0.0
2020-03-11,39005,Ashland,0.0,0.0
2020-03-12,39005,Ashland,0.0,0.0
2020-03-13,39005,Ashland,0.0,0.0
2020-03-14,39005,Ashland,0.0,0.0
2020-03-15,39005,Ashland,1.0,0.0
2020-03-16,39005,Ashland,1.0,0.0
2020-03-17,39005,Ashland,1.0,0.0
2020-03-18,39005,Ashland,2.0,0.0
2020-03-19,39005,Ashland,2.0,0.0
2020-03-20,39005,Ashland,2.0,0.0
2020-03-21,39005,Ashland,2.0,0.0
2020-03-22,39005,Ashland,2.0,0.0
2020-03-23,39005,Ashland,2.0,0.0
2020-03-24,39005,Ashland,2.0,0.0
2020-03-25,39005,Ashland,2.0,0.0
2020-03-26,39005,Ashland,2.0,0.0
2020-03-27,39005,Ashland,2.0,0.0
2020-03-28,39005,Ashland,2.0,0.0
2020-03-29,39005,Ashland,2.0,0.0
2020-03-30,39005,Ashland,2.0,0.0
2020-03-31,39005,Ashland,2.0,0.0
2020-04-01,39005,Ashland,2.0,0.0
2020-01-21,39007,Ashtabula,0.0,0.0
2020-01-22,39007,Ashtabula,0.0,0.0
2020-01-23,39007,Ashtabula,0.0,0.0
2020-01-24,39007,Ashtabula,0.0,0.0
2020-01-25,39007,Ashtabula,0.0,0.0
2020-01-26,39007,Ashtabula,0.0,0.0
2020-01-27,39007,Ashtabula,0.0,0.0
2020-01-28,39007,Ashtabula,0.0,0.0
2020-01-29,39007,Ashtabula,0.0,0.0
2020-01-30,39007,Ashtabula,0.0,0.0
2020-01-31,39007,Ashtabula,0.0,0.0
2020-02-01,39007,Ashtabula,0.0,0.0
2020-02-02,39007,Ashtabula,0.0,0.0
2020-02-03,39007,Ashtabula,0.0,0.0
2020-02-04,39007,Ashtabula,0.0,0.0
2020-02-05,39007,Ashtabula,0.0,0.0
2020-02-06,39007,Ashtabula,0.0,0.0
2020-02-07,39007,Ashtabula,0.0,0.0
2020-02-08,39007,Ashtabula,0.0,0.0
2020-02-09,39007,Ashtabula,0.0,0.0
2020-02-10,39007,Ashtabula,0.0,0.0
2020-02-11,39007,Ashtabula,0.0,0.0
2020-02-12,39007,Ashtabula,0.0,0.0
2020-02-13,39007,Ashtabula,0.0,0.0
2020-02-14,39007,Ashtabula,0.0,0.0
2020-02-15,39007,Ashtabula,0.0,0.0
2020-02-16,39007,Ashtabula,0.0,0.0
2020-02-17,39007,Ashtabula,0.0,0.0
2020-02-18,39007,Ashtabula,0.0,0.0
2020-02-19,39007,Ashtabula,0.0,0.0
2020-02-20,39007,Ashtabula,0.0,0.0
2020-02-21,39007,Ashtabula,0.0,0.0
2020-02-22,39007,Ashtabula,0.0,0.0
2020-02-23,39007,Ashtabula,0.0,0.0
2020-02-24,39007,Ashtabula,0.0,0.0
2020-02-25,39007,Ashtabula,0.0,0.0
2020-02-26,39007,Ashtabula,0.0,0.0
2020-02-27,39007,Ashtabula,0.0,0.0
2020-02-28,39007,Ashtabula,0.0,0.0
2020-02-29,39007,Ashtabula,0.0,0.0
2020-03-01,39007,Ashtabula,0.0,0.0
2020-03-02,39007,Ashtabula,0.0,0.0
2020-03-03,39007,Ashtabula,0.0,0.0
2020-03-04,39007,Ashtabula,0.0,0.0
2020-03-05,39007,Ashtabula,0.0,0.0
2020-03-06,39007,Ashtabula,0.0,0.0
2020-03-07,39007,Ashtabula,0.0,0.0
2020-03-08,39007,Ashtabula,0.0,0.0
2020-03-09,39007,Ashtabula,0.0,0.0
2020-03-10,39007,Ashtabula,0.0,0.0
2020-03-11,39007,Ashtabula,0.0,0.0
2020-03-12,39007,Ashtabula,0.0,0.0
2020-03-13,39007,Ashtabula,0.0,0.0
2020-03-14,39007,Ashtabula,0.0,0.0
2020-03-15,39007,Ashtabula,1.0,0.0
2020-03-16,39007,Ashtabula,1.0,0.0
2020-03-17,39007,Ashtabula,2.0,0.0
2020-03-18,39007,Ashtabula,2.0,0.0
2020-03-19,39007,Ashtabula,2.0,0.0
2020-03-20,39007,Ashtabula,4.0,0.0
2020-03-21,39007,Ashtabula,4.0,0.0
2020-03-22,39007,Ashtabula,4.0,0.0
2020-03-23,39007,Ashtabula,4.0,0.0
2020-03-24,39007,Ashtabula,4.0,0.0
2020-03-25,39007,Ashtabula,5.0,0.0
2020-03-26,39007,Ashtabula,6.0,0.0
2020-03-27,39007,Ashtabula,6.0,0.0
2020-03-28,39007,Ashtabula,6.0,0.0
2020-03-29,39007,Ashtabula,6.0,0.0
2020-03-30,39007,Ashtabula,6.0,0.0
2020-03-31,39007,Ashtabula,6.0,0.0
2020-04-01,39007,Ashtabula,6.0,0.0
2020-01-21,39009,Athens,0.0,0.0
2020-01-22,39009,Athens,0.0,0.0
2020-01-23,39009,Athens,0.0,0.0
2020-01-24,39009,Athens,0.0,0.0
2020-01-25,39009,Athens,0.0,0.0
2020-01-26,39009,Athens,0.0,0.0
2020-01-27,39009,Athens,0.0,0.0
2020-01-28,39009,Athens,0.0,0.0
2020-01-29,39009,Athens,0.0,0.0
2020-01-30,39009,Athens,0.0,0.0
2020-01-31,39009,Athens,0.0,0.0
2020-02-01,39009,Athens,0.0,0.0
2020-02-02,39009,Athens,0.0,0.0
2020-02-03,39009,Athens,0.0,0.0
2020-02-04,39009,Athens,0.0,0.0
2020-02-05,39009,Athens,0.0,0.0
2020-02-06,39009,Athens,0.0,0.0
2020-02-07,39009,Athens,0.0,0.0
2020-02-08,39009,Athens,0.0,0.0
2020-02-09,39009,Athens,0.0,0.0
2020-02-10,39009,Athens,0.0,0.0
2020-02-11,39009,Athens,0.0,0.0
2020-02-12,39009,Athens,0.0,0.0
2020-02-13,39009,Athens,0.0,0.0
2020-02-14,39009,Athens,0.0,0.0
2020-02-15,39009,Athens,0.0,0.0
2020-02-16,39009,Athens,0.0,0.0
2020-02-17,39009,Athens,0.0,0.0
2020-02-18,39009,Athens,0.0,0.0
2020-02-19,39009,Athens,0.0,0.0
2020-02-20,39009,Athens,0.0,0.0
2020-02-21,39009,Athens,0.0,0.0
2020-02-22,39009,Athens,0.0,0.0
2020-02-23,39009,Athens,0.0,0.0
2020-02-24,39009,Athens,0.0,0.0
2020-02-25,39009,Athens,0.0,0.0
2020-02-26,39009,Athens,0.0,0.0
2020-02-27,39009,Athens,0.0,0.0
2020-02-28,39009,Athens,0.0,0.0
2020-02-29,39009,Athens,0.0,0.0
2020-03-01,39009,Athens,0.0,0.0
2020-03-02,39009,Athens,0.0,0.0
2020-03-03,39009,Athens,0.0,0.0
2020-03-04,39009,Athens,0.0,0.0
2020-03-05,39009,Athens,0.0,0.0
2020-03-06,39009,Athens,0.0,0.0
2020-03-07,39009,Athens,0.0,0.0
2020-03-08,39009,Athens,0.0,0.0
2020-03-09,39009,Athens,0.0,0.0
2020-03-10,39009,Athens,0.0,0.0
2020-03-11,39009,Athens,0.0,0.0
2020-03-12,39009,Athens,1.0,0.0
2020-03-13,39009,Athens,2.0,0.0
2020-03-14,39009,Athens,2.0,0.0
2020-03-15,39009,Athens,2.0,0.0
2020-03-16,39009,Athens,2.0,0.0
2020-03-17,39009,Athens,2.0,0.0
2020-03-18,39009,Athens,2.0,0.0
2020-03-19,39009,Athens,2.0,0.0
2020-03-20,39009,Athens,2.0,0.0
2020-03-21,39009,Athens,2.0,0.0
2020-03-22,39009,Athens,2.0,0.0
2020-03-23,39009,Athens,3.0,1.0
2020-03-24,39009,Athens,3.0,1.0
2020-03-25,39009,Athens,3.0,1.0
2020-03-26,39009,Athens,3.0,1.0
2020-03-27,39009,Athens,3.0,1.0
2020-03-28,39009,Athens,3.0,1.0
2020-03-29,39009,Athens,3.0,1.0
2020-03-30,39009,Athens,3.0,1.0
2020-03-31,39009,Athens,3.0,1.0
2020-04-01,39009,Athens,3.0,1.0
